АдресПолучателя;ГородПолучателя;ДатаИсполнения;ДатаНазначения;ДатаРазмещения;Доставка;ИндексПолучателя;КодЗаказа;КодКлиента;КодСотрудника;НазваниеПолучателя;ОбластьПолучателя;СтоимостьДоставки;СтранаПолучателя
184, chaussee de Tournai;Лилль;14.01.97 08:00;05.02.97 08:00;08.01.97 08:00;1;59000;10408;FOLIG;8;Folies gourmandes;;11,26;Франция
"Ing. Gustavo Moncada 8585
Piso 20-A";Буэнос-Айрес;14.01.97 08:00;06.02.97 08:00;09.01.97 08:00;1;1010;10409;OCEAN;3;Oceano Atlantico Ltda.;;29,83;Аргентина
23 Tsawassen Blvd.;Тсавассен;15.01.97 08:00;07.02.97 08:00;10.01.97 08:00;3;T2F 8M4;10410;BOTTM;3;Bottom-Dollar Markets;BC;2,4;Канада
23 Tsawassen Blvd.;Тсавассен;21.01.97 08:00;07.02.97 08:00;10.01.97 08:00;3;T2F 8M4;10411;BOTTM;9;Bottom-Dollar Markets;BC;23,65;Канада
Torikatu 38;Оулу;15.01.97 08:00;10.02.97 08:00;13.01.97 08:00;2;90110;10412;WARTH;8;Wartian Herkku;;3,77;Финляндия
1 rue Alsace-Lorraine;Тулуза;16.01.97 08:00;11.02.97 08:00;14.01.97 08:00;2;31000;10413;LAMAI;3;La maison d'Asie;;95,66;Франция
Rua Oros, 92;Сан-Пауло;17.01.97 08:00;11.02.97 08:00;14.01.97 08:00;3;05442-030;10414;FAMIA;2;Familia Arquibaldo;SP;21,48;Бразилия
"City Center Plaza
516 Main St.";Элгин;24.01.97 08:00;12.02.97 08:00;15.01.97 08:00;1;97827;10415;HUNGC;3;Hungry Coyote Import Store;OR;0,2;США
Torikatu 38;Оулу;27.01.97 08:00;13.02.97 08:00;16.01.97 08:00;3;90110;10416;WARTH;8;Wartian Herkku;;22,72;Финляндия
Vinbaeltet 34;Копенгаген;28.01.97 08:00;13.02.97 08:00;16.01.97 08:00;3;1734;10417;SIMOB;4;Simons bistro;;70,29;Дания
Taucherstrasse 10;Кюневальд;24.01.97 08:00;14.02.97 08:00;17.01.97 08:00;1;01307;10418;QUICK;4;QUICK-Stop;;17,55;Германия
Starenweg 5;Женева;30.01.97 08:00;17.02.97 08:00;20.01.97 08:00;2;1204;10419;RICSU;4;Richter Supermarkt;;137,35;Швейцария
Rua do Mercado, 12;Ресенде;27.01.97 08:00;18.02.97 08:00;21.01.97 08:00;1;08737-363;10420;WELLI;3;Wellington Importadora;SP;44,12;Бразилия
Rua da Panificadora, 12;Рио-де-Жанейро;27.01.97 08:00;04.03.97 08:00;21.01.97 08:00;1;02389-673;10421;QUEDE;8;Que Delicia;RJ;99,23;Бразилия
Via Monte Bianco 34;Турин;31.01.97 08:00;19.02.97 08:00;22.01.97 08:00;1;10100;10422;FRANS;2;Franchi S.p.A.;;3,02;Италия
Av. Brasil, 442;Кампинас;24.02.97 08:00;06.02.97 08:00;23.01.97 08:00;3;04876-786;10423;GOURL;6;Gourmet Lanchonetes;SP;24,5;Бразилия
43 rue St. Laurent;Монреаль;27.01.97 08:00;20.02.97 08:00;23.01.97 08:00;2;H1J 1C3;10424;MEREP;7;Mere Paillarde;Quebec;370,61;Канада
1 rue Alsace-Lorraine;Тулуза;14.02.97 08:00;21.02.97 08:00;24.01.97 08:00;2;31000;10425;LAMAI;6;La maison d'Asie;;7,93;Франция
Rambla de Cataluna, 23;Барселона;06.02.97 08:00;24.02.97 08:00;27.01.97 08:00;1;8022;10426;GALED;4;Galeria del gastronomo;;18,69;Испания
Geislweg 14;Зальцбург;03.03.97 08:00;24.02.97 08:00;27.01.97 08:00;2;5020;10427;PICCO;4;Piccolo und mehr;;31,29;Австрия
Strada Provinciale 124;Реджио-Эмилио;04.02.97 08:00;25.02.97 08:00;28.01.97 08:00;1;42100;10428;REGGC;7;Reggiani Caseifici;;11,09;Италия
8 Johnstown Road;Корк;07.02.97 08:00;12.03.97 08:00;29.01.97 08:00;2;;10429;HUNGO;3;Hungry Owl All-Night Grocers;Co. Cork;56,63;Ирландия
Kirchgasse 6;Грасс;03.02.97 08:00;13.02.97 08:00;30.01.97 08:00;1;8010;10430;ERNSH;4;Ernst Handel;;458,78;Австрия
23 Tsawassen Blvd.;Тсавассен;07.02.97 08:00;13.02.97 08:00;30.01.97 08:00;2;T2F 8M4;10431;BOTTM;4;Bottom-Dollar Markets;BC;44,17;Канада
P.O. Box 555;Лендер;07.02.97 08:00;14.02.97 08:00;31.01.97 08:00;2;82520;10432;SPLIR;3;Split Rail Beer & Ale;WY;4,34;США
Estrada da saude n. 58;Лиссабон;04.03.97 08:00;03.03.97 08:00;03.02.97 08:00;3;1756;10433;PRINI;3;Princesa Isabel Vinhos;;73,83;Португалия
Lkergatan 24;Брекке;13.02.97 08:00;03.03.97 08:00;03.02.97 08:00;2;S-844 67;10434;FOLKO;3;Folk och fa HB;;17,92;Швеция
"Berkeley Gardens
12  Brewery ";Лондон;07.02.97 08:00;18.03.97 08:00;04.02.97 08:00;2;WX1 6LT;10435;CONSH;8;Consolidated Holdings;;9,21;Великобритания
24, place Kleber;Страсбург;11.02.97 08:00;05.03.97 08:00;05.02.97 08:00;2;67000;10436;BLONP;3;Blondel pere et fils;;156,66;Франция
Torikatu 38;Оулу;12.02.97 08:00;05.03.97 08:00;05.02.97 08:00;1;90110;10437;WARTH;8;Wartian Herkku;;19,97;Финляндия
Luisenstr. 48;Мюнстер;14.02.97 08:00;06.03.97 08:00;06.02.97 08:00;2;44087;10438;TOMSP;3;Toms Spezialitaten;;8,24;Германия
43 rue St. Laurent;Монреаль;10.02.97 08:00;07.03.97 08:00;07.02.97 08:00;3;H1J 1C3;10439;MEREP;6;Mere Paillarde;Quebec;4,07;Канада
187 Suffolk Ln.;Буа;28.02.97 08:00;10.03.97 08:00;10.02.97 08:00;2;83720;10440;SAVEA;4;Save-a-lot Markets;ID;86,53;США
2743 Bering St.;Анкоридж;14.03.97 08:00;24.03.97 08:00;10.02.97 08:00;2;99508;10441;OLDWO;3;Old World Delicatessen;AK;73,02;США
Kirchgasse 6;Грасс;18.02.97 08:00;11.03.97 08:00;11.02.97 08:00;2;8010;10442;ERNSH;3;Ernst Handel;;47,94;Австрия
Strada Provinciale 124;Реджио-Эмилио;14.02.97 08:00;12.03.97 08:00;12.02.97 08:00;1;42100;10443;REGGC;8;Reggiani Caseifici;;13,95;Италия
Berguvsvagen  8;Лулео;21.02.97 08:00;12.03.97 08:00;12.02.97 08:00;3;S-958 22;10444;BERGS;3;Berglunds snabbkop;;3,5;Швеция
Berguvsvagen  8;Лулео;20.02.97 08:00;13.03.97 08:00;13.02.97 08:00;1;S-958 22;10445;BERGS;3;Berglunds snabbkop;;9,3;Швеция
Luisenstr. 48;Мюнстер;19.02.97 08:00;14.03.97 08:00;14.02.97 08:00;1;44087;10446;TOMSP;6;Toms Spezialitaten;;14,68;Германия
Av. Copacabana, 267;Рио-де-Жанейро;07.03.97 08:00;14.03.97 08:00;14.02.97 08:00;2;02389-890;10447;RICAR;4;Ricardo Adocicados;RJ;68,66;Бразилия
Av. del Libertador 900;Буэнос-Айрес;24.02.97 08:00;17.03.97 08:00;17.02.97 08:00;2;1010;10448;RANCH;4;Rancho grande;;38,82;Аргентина
24, place Kleber;Страсбург;27.02.97 08:00;18.03.97 08:00;18.02.97 08:00;2;67000;10449;BLONP;3;Blondel pere et fils;;53,3;Франция
2, rue du Commerce;Лион;11.03.97 08:00;19.03.97 08:00;19.02.97 08:00;2;69004;10450;VICTE;8;Victuailles en stock;;7,23;Франция
Taucherstrasse 10;Кюневальд;12.03.97 08:00;05.03.97 08:00;19.02.97 08:00;3;01307;10451;QUICK;4;QUICK-Stop;;189,09;Германия
187 Suffolk Ln.;Буа;26.02.97 08:00;20.03.97 08:00;20.02.97 08:00;1;83720;10452;SAVEA;8;Save-a-lot Markets;ID;140,26;США
"Brook Farm
Stratford St. Mary";Колчестер;26.02.97 08:00;21.03.97 08:00;21.02.97 08:00;2;CO7 6JX;10453;AROUT;1;Around the Horn;Essex;25,36;Великобритания
1 rue Alsace-Lorraine;Тулуза;25.02.97 08:00;21.03.97 08:00;21.02.97 08:00;3;31000;10454;LAMAI;4;La maison d'Asie;;2,74;Франция
Torikatu 38;Оулу;03.03.97 08:00;07.04.97 08:00;24.02.97 08:00;2;90110;10455;WARTH;8;Wartian Herkku;;180,45;Финляндия
Maubelstr. 90;Бранденбург;28.02.97 08:00;08.04.97 08:00;25.02.97 08:00;2;14776;10456;KOENE;8;Koniglich Essen;;8,12;Германия
Maubelstr. 90;Бранденбург;03.03.97 08:00;25.03.97 08:00;25.02.97 08:00;1;14776;10457;KOENE;2;Koniglich Essen;;11,57;Германия
Boulevard Tirou, 255;Шарлеруа;04.03.97 08:00;26.03.97 08:00;26.02.97 08:00;3;B-6000;10458;SUPRD;7;Supremes delices;;147,06;Бельгия
2, rue du Commerce;Лион;28.02.97 08:00;27.03.97 08:00;27.02.97 08:00;2;69004;10459;VICTE;4;Victuailles en stock;;25,09;Франция
Lkergatan 24;Брекке;03.03.97 08:00;28.03.97 08:00;28.02.97 08:00;1;S-844 67;10460;FOLKO;8;Folk och fa HB;;16,27;Швеция
Carrera 52 con Ave. Bolivar #65-98 Llano Largo;Баркисимето;05.03.97 08:00;28.03.97 08:00;28.02.97 08:00;3;3508;10461;LILAS;1;LILA-Supermercado;Lara;148,61;Венесуэлла
"Berkeley Gardens
12  Brewery ";Лондон;18.03.97 08:00;31.03.97 09:00;03.03.97 08:00;1;WX1 6LT;10462;CONSH;2;Consolidated Holdings;;6,17;Великобритания
Boulevard Tirou, 255;Шарлеруа;06.03.97 08:00;01.04.97 09:00;04.03.97 08:00;3;B-6000;10463;SUPRD;5;Supremes delices;;14,78;Бельгия
Jardim das rosas n. 32;Лиссабон;14.03.97 08:00;01.04.97 09:00;04.03.97 08:00;2;1675;10464;FURIB;4;Furia Bacalhau e Frutos do Mar;;89;Португалия
Smagsloget 45;Орхус;14.03.97 08:00;02.04.97 09:00;05.03.97 08:00;3;8200;10465;VAFFE;1;Vaffeljernet;;145,04;Дания
Av. dos Lusiadas, 23;Сан-Пауло;13.03.97 08:00;03.04.97 09:00;06.03.97 08:00;1;05432-043;10466;COMMI;4;Comercio Mineiro;SP;11,93;Бразилия
Via Ludovico il Moro 22;Бергамо;11.03.97 08:00;03.04.97 09:00;06.03.97 08:00;2;24100;10467;MAGAA;8;Magazzini Alimentari Riuniti;;4,93;Италия
Maubelstr. 90;Бранденбург;12.03.97 08:00;04.04.97 09:00;07.03.97 08:00;3;14776;10468;KOENE;3;Koniglich Essen;;44,12;Германия
1029 - 12th Ave. S.;Сиэтл;14.03.97 08:00;07.04.97 08:00;10.03.97 08:00;1;98124;10469;WHITC;1;White Clover Markets;WA;60,18;США
12, rue des Bouchers;Марсель;14.03.97 08:00;08.04.97 08:00;11.03.97 08:00;2;13008;10470;BONAP;4;Bon app';;64,56;Франция
Fauntleroy Circus;Лондон;18.03.97 08:00;08.04.97 08:00;11.03.97 08:00;3;EC2 5NT;10471;BSBEV;2;B's Beverages;;45,59;Великобритания
90 Wadhurst Rd.;Лондон;19.03.97 08:00;09.04.97 08:00;12.03.97 08:00;1;OX15 4NB;10472;SEVES;8;Seven Seas Imports;;4,2;Великобритания
"Garden House
Crowther Way";Cowes;21.03.97 08:00;27.03.97 08:00;13.03.97 08:00;3;PO31 7PJ;10473;ISLAT;1;Island Trading;Isle of White;16,37;Великобритания
Calle Dr. Jorge Cash 321;Мехико;21.03.97 08:00;10.04.97 08:00;13.03.97 08:00;2;05033;10474;PERIC;5;Pericles Comidas clasicas;;83,49;Мексика
Boulevard Tirou, 255;Шарлеруа;04.04.97 09:00;11.04.97 08:00;14.03.97 08:00;1;B-6000;10475;SUPRD;9;Supremes delices;;68,52;Бельгия
Carrera 22 con Ave. Carlos Soublette #8-35;Сан-Кристобаль;24.03.97 08:00;14.04.97 08:00;17.03.97 08:00;3;5022;10476;HILAA;8;HILARION-Abastos;Tochira;4,41;Венесуэлла
Estrada da saude n. 58;Лиссабон;25.03.97 08:00;14.04.97 08:00;17.03.97 08:00;2;1756;10477;PRINI;5;Princesa Isabel Vinhos;;13,02;Португалия
2, rue du Commerce;Лион;26.03.97 08:00;01.04.97 09:00;18.03.97 08:00;3;69004;10478;VICTE;2;Victuailles en stock;;4,81;Франция
2817 Milton Dr.;Альбукерке;21.03.97 08:00;16.04.97 08:00;19.03.97 08:00;3;87110;10479;RATTC;3;Rattlesnake Canyon Grocery;NM;708,95;США
184, chaussee de Tournai;Лилль;24.03.97 08:00;17.04.97 08:00;20.03.97 08:00;2;59000;10480;FOLIG;6;Folies gourmandes;;1,35;Франция
Av. Copacabana, 267;Рио-де-Жанейро;25.03.97 08:00;17.04.97 08:00;20.03.97 08:00;2;02389-890;10481;RICAR;8;Ricardo Adocicados;RJ;64,33;Бразилия
12 Orchestra Terrace;Уолла-Уолла;10.04.97 08:00;18.04.97 08:00;21.03.97 08:00;3;99362;10482;LAZYK;1;Lazy K Kountry Store;WA;7,48;США
1029 - 12th Ave. S.;Сиэтл;25.04.97 08:00;21.04.97 08:00;24.03.97 08:00;2;98124;10483;WHITC;7;White Clover Markets;WA;15,28;США
Fauntleroy Circus;Лондон;01.04.97 09:00;21.04.97 08:00;24.03.97 08:00;3;EC2 5NT;10484;BSBEV;3;B's Beverages;;6,88;Великобритания
Ave. 5 de Mayo Porlamar;О-в Маргариты;31.03.97 09:00;08.04.97 08:00;25.03.97 08:00;2;4980;10485;LINOD;4;LINO-Delicateses;Nueva Esparta;64,45;Венесуэлла
Carrera 22 con Ave. Carlos Soublette #8-35;Сан-Кристобаль;02.04.97 09:00;23.04.97 08:00;26.03.97 08:00;2;5022;10486;HILAA;1;HILARION-Abastos;Tochira;30,53;Венесуэлла
Alameda dos Canarios, 891;Сан-Пауло;28.03.97 08:00;23.04.97 08:00;26.03.97 08:00;2;05487-020;10487;QUEEN;2;Queen Cozinha;SP;71,07;Бразилия
Berliner Platz 43;Мюнхен;02.04.97 09:00;24.04.97 08:00;27.03.97 08:00;2;80805;10488;FRANK;8;Frankenversand;;4,93;Германия
Geislweg 14;Зальцбург;09.04.97 08:00;25.04.97 08:00;28.03.97 08:00;2;5020;10489;PICCO;6;Piccolo und mehr;;5,29;Австрия
Carrera 22 con Ave. Carlos Soublette #8-35;Сан-Кристобаль;03.04.97 09:00;28.04.97 08:00;31.03.97 09:00;2;5022;10490;HILAA;7;HILARION-Abastos;Tochira;210,19;Венесуэлла
Jardim das rosas n. 32;Лиссабон;08.04.97 08:00;28.04.97 08:00;31.03.97 09:00;3;1675;10491;FURIB;8;Furia Bacalhau e Frutos do Mar;;16,96;Португалия
23 Tsawassen Blvd.;Тсавассен;11.04.97 08:00;29.04.97 08:00;01.04.97 09:00;1;T2F 8M4;10492;BOTTM;3;Bottom-Dollar Markets;BC;62,89;Канада
1 rue Alsace-Lorraine;Тулуза;10.04.97 08:00;30.04.97 08:00;02.04.97 09:00;3;31000;10493;LAMAI;4;La maison d'Asie;;10,64;Франция
Av. dos Lusiadas, 23;Сан-Пауло;09.04.97 08:00;30.04.97 08:00;02.04.97 09:00;2;05432-043;10494;COMMI;4;Comercio Mineiro;SP;65,99;Бразилия
2319 Elm St.;Ванкувер;11.04.97 08:00;01.05.97 08:00;03.04.97 09:00;3;V3F 2K1;10495;LAUGB;3;Laughing Bacchus Wine Cellars;BC;4,65;Канада
Av. Ines de Castro, 414;Сан-Пауло;07.04.97 08:00;02.05.97 08:00;04.04.97 09:00;2;05634-030;10496;TRADH;7;Tradicao Hipermercados;SP;46,77;Бразилия
Magazinweg 7;Франкфурт;07.04.97 08:00;02.05.97 08:00;04.04.97 09:00;1;60528;10497;LEHMS;7;Lehmanns Marktstand;;36,21;Германия
Carrera 22 con Ave. Carlos Soublette #8-35;Сан-Кристобаль;11.04.97 08:00;05.05.97 08:00;07.04.97 08:00;2;5022;10498;HILAA;8;HILARION-Abastos;Tochira;29,75;Венесуэлла
Carrera 52 con Ave. Bolivar #65-98 Llano Largo;Баркисимето;16.04.97 08:00;06.05.97 08:00;08.04.97 08:00;2;3508;10499;LILAS;4;LILA-Supermercado;Lara;102,02;Венесуэлла
1 rue Alsace-Lorraine;Тулуза;17.04.97 08:00;07.05.97 08:00;09.04.97 08:00;1;31000;10500;LAMAI;6;La maison d'Asie;;42,68;Франция
Ave. 5 de Mayo Porlamar;О-в Маргариты;16.04.97 08:00;07.05.97 08:00;09.04.97 08:00;1;4980;10501;LINOD;9;LINO-Delicateses;Nueva Esparta;8,85;Венесуэлла
Calle Dr. Jorge Cash 321;Мехико;29.04.97 08:00;08.05.97 08:00;10.04.97 08:00;1;05033;10502;PERIC;2;Pericles Comidas clasicas;;69,32;Мексика
8 Johnstown Road;Корк;16.04.97 08:00;09.05.97 08:00;11.04.97 08:00;2;;10503;HUNGO;6;Hungry Owl All-Night Grocers;Co. Cork;16,74;Ирландия
1029 - 12th Ave. S.;Сиэтл;18.04.97 08:00;09.05.97 08:00;11.04.97 08:00;3;98124;10504;WHITC;4;White Clover Markets;WA;59,13;США
43 rue St. Laurent;Монреаль;21.04.97 08:00;12.05.97 08:00;14.04.97 08:00;3;H1J 1C3;10505;MEREP;3;Mere Paillarde;Quebec;7,13;Канада
Maubelstr. 90;Бранденбург;02.05.97 08:00;13.05.97 08:00;15.04.97 08:00;2;14776;10506;KOENE;9;Koniglich Essen;;21,19;Германия
Mataderos  2312;Мехико;22.04.97 08:00;13.05.97 08:00;15.04.97 08:00;1;05023;10507;ANTON;7;Antonio Moreno Taqueria;;47,45;Мексика
Mehrheimerstr. 369;Кельн;13.05.97 08:00;14.05.97 08:00;16.04.97 08:00;2;50739;10508;OTTIK;1;Ottilies Kaseladen;;4,99;Германия
Forsterstr. 57;Мангейм;29.04.97 08:00;15.05.97 08:00;17.04.97 08:00;1;68306;10509;BLAUS;4;Blauer See Delikatessen;;0,15;Германия
187 Suffolk Ln.;Буа;28.04.97 08:00;16.05.97 08:00;18.04.97 08:00;3;83720;10510;SAVEA;6;Save-a-lot Markets;ID;367,63;США
12, rue des Bouchers;Марсель;21.04.97 08:00;16.05.97 08:00;18.04.97 08:00;3;13008;10511;BONAP;4;Bon app';;350,64;Франция
Rua Oros, 92;Сан-Пауло;24.04.97 08:00;19.05.97 08:00;21.04.97 08:00;2;05442-030;10512;FAMIA;7;Familia Arquibaldo;SP;3,53;Бразилия
Adenauerallee 900;Штутгарт;28.04.97 08:00;03.06.97 08:00;22.04.97 08:00;1;70563;10513;WANDK;7;Die Wandernde Kuh;;105,65;Германия
Kirchgasse 6;Грасс;16.05.97 08:00;20.05.97 08:00;22.04.97 08:00;2;8010;10514;ERNSH;3;Ernst Handel;;789,95;Австрия
Taucherstrasse 10;Кюневальд;23.05.97 08:00;07.05.97 08:00;23.04.97 08:00;1;01307;10515;QUICK;2;QUICK-Stop;;204,47;Германия
8 Johnstown Road;Корк;01.05.97 08:00;22.05.97 08:00;24.04.97 08:00;3;;10516;HUNGO;2;Hungry Owl All-Night Grocers;Co. Cork;62,78;Ирландия
"South House
300 Queensbridge";Лондон;29.04.97 08:00;22.05.97 08:00;24.04.97 08:00;3;SW7 1RZ;10517;NORTS;3;North/South;;32,07;Великобритания
Avda. Azteca 123;Мехико;05.05.97 08:00;09.05.97 08:00;25.04.97 08:00;2;05033;10518;TORTU;4;Tortuga Restaurante;;218,15;Мексика
Hauptstr. 31;Берн;01.05.97 08:00;26.05.97 08:00;28.04.97 08:00;3;3012;10519;CHOPS;6;Chop-suey Chinese;;91,76;Швейцария
Erling Skakkes gate 78;Ставерен;01.05.97 08:00;27.05.97 08:00;29.04.97 08:00;1;4110;10520;SANTG;7;Sante Gourmet;;13,37;Норвегия
Cerrito 333;Буэнос-Айрес;02.05.97 08:00;27.05.97 08:00;29.04.97 08:00;2;1010;10521;CACTU;8;Cactus Comidas para llevar;;17,22;Аргентина
Magazinweg 7;Франкфурт;06.05.97 08:00;28.05.97 08:00;30.04.97 08:00;1;60528;10522;LEHMS;4;Lehmanns Marktstand;;45,33;Германия
90 Wadhurst Rd.;Лондон;30.05.97 08:00;29.05.97 08:00;01.05.97 08:00;2;OX15 4NB;10523;SEVES;7;Seven Seas Imports;;77,63;Великобритания
Forsterstr. 57;Мангейм;07.05.97 08:00;29.05.97 08:00;01.05.97 08:00;2;68306;10524;BLAUS;1;Blauer See Delikatessen;;244,79;Германия
12, rue des Bouchers;Марсель;23.05.97 08:00;30.05.97 08:00;02.05.97 08:00;2;13008;10525;BONAP;1;Bon app';;11,06;Франция
Torikatu 38;Оулу;15.05.97 08:00;02.06.97 08:00;05.05.97 08:00;2;90110;10526;WARTH;4;Wartian Herkku;;58,59;Финляндия
Taucherstrasse 10;Кюневальд;07.05.97 08:00;02.06.97 08:00;05.05.97 08:00;1;01307;10527;QUICK;7;QUICK-Stop;;41,9;Германия
2732 Baker Blvd.;Юджин;09.05.97 08:00;20.05.97 08:00;06.05.97 08:00;2;97403;10528;GREAL;6;Great Lakes Food Market;OR;3,35;США
Rue Joseph-Bens 532;Брюссель;09.05.97 08:00;04.06.97 08:00;07.05.97 08:00;2;B-1180;10529;MAISD;5;Maison Dewey;;66,69;Бельгия
Geislweg 14;Зальцбург;12.05.97 08:00;05.06.97 08:00;08.05.97 08:00;2;5020;10530;PICCO;3;Piccolo und mehr;;339,22;Австрия
"Ing. Gustavo Moncada 8585
Piso 20-A";Буэнос-Айрес;19.05.97 08:00;05.06.97 08:00;08.05.97 08:00;1;1010;10531;OCEAN;7;Oceano Atlantico Ltda.;;8,12;Аргентина
35 King George;Лондон;12.05.97 08:00;06.06.97 08:00;09.05.97 08:00;3;WX3 6FW;10532;EASTC;7;Eastern Connection;;74,46;Великобритания
Lkergatan 24;Брекке;22.05.97 08:00;09.06.97 08:00;12.05.97 08:00;1;S-844 67;10533;FOLKO;8;Folk och fa HB;;188,04;Швеция
Magazinweg 7;Франкфурт;14.05.97 08:00;09.06.97 08:00;12.05.97 08:00;2;60528;10534;LEHMS;8;Lehmanns Marktstand;;27,94;Германия
Mataderos  2312;Мехико;21.05.97 08:00;10.06.97 08:00;13.05.97 08:00;1;05023;10535;ANTON;4;Antonio Moreno Taqueria;;15,64;Мексика
Magazinweg 7;Франкфурт;06.06.97 08:00;11.06.97 08:00;14.05.97 08:00;2;60528;10536;LEHMS;3;Lehmanns Marktstand;;58,88;Германия
Starenweg 5;Женева;19.05.97 08:00;28.05.97 08:00;14.05.97 08:00;1;1204;10537;RICSU;1;Richter Supermarkt;;78,85;Швейцария
Fauntleroy Circus;Лондон;16.05.97 08:00;12.06.97 08:00;15.05.97 08:00;3;EC2 5NT;10538;BSBEV;9;B's Beverages;;4,87;Великобритания
Fauntleroy Circus;Лондон;23.05.97 08:00;13.06.97 08:00;16.05.97 08:00;3;EC2 5NT;10539;BSBEV;6;B's Beverages;;12,36;Великобритания
Taucherstrasse 10;Кюневальд;13.06.97 08:00;16.06.97 08:00;19.05.97 08:00;3;01307;10540;QUICK;3;QUICK-Stop;;1007,64;Германия
Rua do Paco, 67;Рио-де-Жанейро;29.05.97 08:00;16.06.97 08:00;19.05.97 08:00;1;05454-876;10541;HANAR;2;Hanari Carnes;RJ;68,65;Бразилия
Maubelstr. 90;Бранденбург;26.05.97 08:00;17.06.97 08:00;20.05.97 08:00;3;14776;10542;KOENE;1;Koniglich Essen;;10,95;Германия
Carrera 52 con Ave. Bolivar #65-98 Llano Largo;Баркисимето;23.05.97 08:00;18.06.97 08:00;21.05.97 08:00;2;3508;10543;LILAS;8;LILA-Supermercado;Lara;48,17;Венесуэлла
89 Chiaroscuro Rd.;Портленд;30.05.97 08:00;18.06.97 08:00;21.05.97 08:00;1;97219;10544;LONEP;4;Lonesome Pine Restaurant;OR;24,91;США
12 Orchestra Terrace;Уолла-Уолла;26.06.97 08:00;19.06.97 08:00;22.05.97 08:00;2;99362;10545;LAZYK;8;Lazy K Kountry Store;WA;11,92;США
2, rue du Commerce;Лион;27.05.97 08:00;20.06.97 08:00;23.05.97 08:00;3;69004;10546;VICTE;1;Victuailles en stock;;194,72;Франция
90 Wadhurst Rd.;Лондон;02.06.97 08:00;20.06.97 08:00;23.05.97 08:00;2;OX15 4NB;10547;SEVES;3;Seven Seas Imports;;178,43;Великобритания
Luisenstr. 48;Мюнстер;02.06.97 08:00;23.06.97 08:00;26.05.97 08:00;2;44087;10548;TOMSP;3;Toms Spezialitaten;;1,43;Германия
Taucherstrasse 10;Кюневальд;30.05.97 08:00;10.06.97 08:00;27.05.97 08:00;1;01307;10549;QUICK;5;QUICK-Stop;;171,24;Германия
C/ Romero, 33;Севилья;06.06.97 08:00;25.06.97 08:00;28.05.97 08:00;3;41101;10550;GODOS;7;Godos Cocina Tipica;;4,32;Испания
Jardim das rosas n. 32;Лиссабон;06.06.97 08:00;09.07.97 08:00;28.05.97 08:00;3;1675;10551;FURIB;4;Furia Bacalhau e Frutos do Mar;;72,95;Португалия
Carrera 22 con Ave. Carlos Soublette #8-35;Сан-Кристобаль;05.06.97 08:00;26.06.97 08:00;29.05.97 08:00;1;5022;10552;HILAA;2;HILARION-Abastos;Tochira;83,22;Венесуэлла
Torikatu 38;Оулу;03.06.97 08:00;27.06.97 08:00;30.05.97 08:00;2;90110;10553;WARTH;2;Wartian Herkku;;149,49;Финляндия
Mehrheimerstr. 369;Кельн;05.06.97 08:00;27.06.97 08:00;30.05.97 08:00;3;50739;10554;OTTIK;4;Ottilies Kaseladen;;120,97;Германия
187 Suffolk Ln.;Буа;04.06.97 08:00;30.06.97 08:00;02.06.97 08:00;3;83720;10555;SAVEA;6;Save-a-lot Markets;ID;252,49;США
Vinbaeltet 34;Копенгаген;13.06.97 08:00;15.07.97 08:00;03.06.97 08:00;1;1734;10556;SIMOB;2;Simons bistro;;9,8;Дания
Magazinweg 7;Франкфурт;06.06.97 08:00;17.06.97 08:00;03.06.97 08:00;2;60528;10557;LEHMS;9;Lehmanns Marktstand;;96,72;Германия
"Brook Farm
Stratford St. Mary";Колчестер;10.06.97 08:00;02.07.97 08:00;04.06.97 08:00;2;CO7 6JX;10558;AROUT;1;Around the Horn;Essex;72,97;Великобритания
24, place Kleber;Страсбург;13.06.97 08:00;03.07.97 08:00;05.06.97 08:00;1;67000;10559;BLONP;6;Blondel pere et fils;;8,05;Франция
Berliner Platz 43;Мюнхен;09.06.97 08:00;04.07.97 08:00;06.06.97 08:00;1;80805;10560;FRANK;8;Frankenversand;;36,65;Германия
Lkergatan 24;Брекке;09.06.97 08:00;04.07.97 08:00;06.06.97 08:00;2;S-844 67;10561;FOLKO;2;Folk och fa HB;;242,21;Швеция
Strada Provinciale 124;Реджио-Эмилио;12.06.97 08:00;07.07.97 08:00;09.06.97 08:00;1;42100;10562;REGGC;1;Reggiani Caseifici;;22,95;Италия
Av. Copacabana, 267;Рио-де-Жанейро;24.06.97 08:00;22.07.97 08:00;10.06.97 08:00;2;02389-890;10563;RICAR;2;Ricardo Adocicados;RJ;60,43;Бразилия
2817 Milton Dr.;Альбукерке;16.06.97 08:00;08.07.97 08:00;10.06.97 08:00;3;87110;10564;RATTC;4;Rattlesnake Canyon Grocery;NM;13,75;США
43 rue St. Laurent;Монреаль;18.06.97 08:00;09.07.97 08:00;11.06.97 08:00;2;H1J 1C3;10565;MEREP;8;Mere Paillarde;Quebec;7,15;Канада
24, place Kleber;Страсбург;18.06.97 08:00;10.07.97 08:00;12.06.97 08:00;1;67000;10566;BLONP;9;Blondel pere et fils;;88,4;Франция
8 Johnstown Road;Корк;17.06.97 08:00;10.07.97 08:00;12.06.97 08:00;1;;10567;HUNGO;1;Hungry Owl All-Night Grocers;Co. Cork;33,97;Ирландия
